Date,Open,High,Low,Close,Volume,Count
5/18/2012,42.05,45,38,38.23,580587742,1130
5/17/2012,,,,38,0,1129
5/21/2012,36.53,36.66,33,34.03,168309831,1128
5/22/2012,32.61,33.59,30.94,31,102053826,1127
5/23/2012,31.37,32.5,31.36,32,73721135,1126
5/24/2012,32.95,33.21,31.77,33.03,50275879,1125
5/25/2012,32.9,32.95,31.11,31.91,37189630,1124
5/29/2012,31.48,31.69,28.65,28.84,78060799,1123
5/30/2012,28.7,29.55,27.86,28.19,57267867,1122
5/31/2012,28.54,29.67,26.83,29.6,111639200,1121
6/1/2012,28.89,29.15,27.39,27.72,41855500,1120
6/4/2012,27.2,27.65,26.44,26.9,35230290,1119
6/5/2012,26.7,27.76,25.75,25.87,42473262,1118
6/6/2012,26.07,27.17,25.52,26.81,61487019,1117
6/7/2012,27,27.35,26.15,26.31,26167757,1116
6/8/2012,26.55,27.76,26.44,27.1,38033420,1115
6/11/2012,27.18,28.07,26.84,27,28225887,1114
6/12/2012,27.48,27.77,26.96,27.4,15822414,1113
6/13/2012,27.66,28.1,27.1,27.27,17118672,1112
6/14/2012,27.65,28.32,27.38,28.29,16854124,1111
6/15/2012,28.5,30.1,28.35,30.01,43563739,1110
6/18/2012,29.96,32.08,29.41,31.41,42978209,1109
6/19/2012,31.54,32.18,30.7,31.91,30848913,1108
6/20/2012,31.92,31.93,31.15,31.6,15558921,1107
6/21/2012,31.67,32.5,31.51,31.84,21875228,1106
6/22/2012,32.41,33.45,32.06,33.05,74833976,1105
6/25/2012,32.86,33.02,31.55,32.06,24352818,1104
6/26/2012,32.69,33.44,32.5,33.1,24858611,1103
6/27/2012,32.46,32.9,31.9,32.23,28599506,1102
6/28/2012,31.96,32.19,30.9,31.36,17713292,1101
6/29/2012,31.92,31.99,30.76,31.1,19526823,1100
7/2/2012,31.25,31.73,30.55,30.77,14131476,1099
7/3/2012,30.91,31.44,30.8,31.2,8765498,1098
7/5/2012,31.32,31.62,31.02,31.47,10036688,1097
7/6/2012,31.44,31.9,31.26,31.73,10949006,1096
7/9/2012,32.1,32.88,31.99,32.17,17785180,1095
7/10/2012,32.43,32.48,31.16,31.47,14276996,1094
7/11/2012,31.48,31.56,30.55,30.97,13027752,1093
7/12/2012,30.7,31.4,30.6,30.81,11306636,1092
7/13/2012,31.04,31.07,30.56,30.72,8117346,1091
7/16/2012,30.5,30.5,28.21,28.24,24672074,1090
7/17/2012,28.48,28.59,27.15,28.09,30438551,1089
7/18/2012,28.31,29.29,28.15,29.11,16841779,1088
7/19/2012,29.41,29.5,28.63,29,13685031,1087
7/20/2012,29,29.47,28.72,28.76,11869046,1086
7/23/2012,28.12,29,28.01,28.75,12393864,1085
7/24/2012,28.82,29.45,28.1,28.45,11539799,1084
7/25/2012,28.39,29.49,28.08,29.34,17230154,1083
7/26/2012,27.75,28.23,26.73,26.84,64597378,1082
7/27/2012,23.19,24.54,22.28,23.7,123098340,1081
7/30/2012,24,24.04,23.03,23.15,29285895,1080
7/31/2012,23.37,23.37,21.61,21.71,56179322,1079
8/1/2012,21.5,21.58,20.84,20.88,44604365,1078
8/2/2012,20.77,20.84,19.82,20.04,56374436,1077
8/3/2012,20.36,22.16,19.9,21.09,80646975,1076
8/6/2012,21.39,22.15,21.3,21.92,27778038,1075
8/7/2012,22.2,22.45,20.5,20.72,36782827,1074
8/8/2012,20.71,21.15,20.22,20.72,29537376,1073
8/9/2012,20.75,21.17,20.61,21.01,15618515,1072
8/10/2012,21.41,21.82,21.13,21.81,25794673,1071
8/13/2012,22.15,22.45,21.4,21.6,24972973,1070
8/14/2012,21.41,21.6,20.25,20.38,39308634,1069
8/15/2012,20.64,21.41,20.4,21.2,47860767,1068
8/16/2012,20.44,20.48,19.69,19.87,157554938,1067
8/17/2012,20,20.08,19,19.05,129293342,1066
8/20/2012,19.05,20.13,18.75,20.01,101186524,1065
8/21/2012,19.58,19.98,19.09,19.16,70640462,1064
8/22/2012,19.36,19.53,18.96,19.44,49892130,1063
8/23/2012,19.5,19.73,19.36,19.44,32813310,1062
8/24/2012,19.52,19.68,19.25,19.41,29622155,1061
8/27/2012,19.49,19.53,19.1,19.15,20703907,1060
8/28/2012,19.1,19.38,18.95,19.34,25425786,1059
8/29/2012,19.32,19.38,19.07,19.1,16124625,1058
8/30/2012,19.27,19.45,19.06,19.09,30647472,1057
8/31/2012,18.68,18.7,18.03,18.06,58764170,1056
9/4/2012,18.08,18.27,17.55,17.73,46622354,1055
9/5/2012,18.27,18.75,18.18,18.58,60781719,1054
9/6/2012,18.74,19.26,18.72,18.96,46066347,1053
9/7/2012,19.1,19.42,18.78,18.98,36371696,1052
9/10/2012,19.06,19.2,18.55,18.81,24797642,1051
9/11/2012,18.92,19.58,18.85,19.43,50508126,1050
9/12/2012,20.76,21.16,20.28,20.93,121583996,1049
9/13/2012,20.96,21.48,20.61,20.71,65041524,1048
9/14/2012,21.13,22.08,20.9,22,72819643,1047
9/17/2012,22.67,22.75,21.5,21.52,50666447,1046
9/18/2012,21.6,21.98,21.37,21.87,36760449,1045
9/19/2012,21.99,23.37,21.77,23.29,78782783,1044
9/20/2012,23.02,23.24,22.54,22.59,57248663,1043
9/21/2012,22.97,23.24,22.6,22.86,51218097,1042
9/24/2012,21.77,21.98,20.36,20.79,79105121,1041
9/25/2012,21.2,21.21,20.22,20.28,46291655,1040
9/26/2012,20.14,20.78,19.8,20.62,38271878,1039
9/27/2012,20.99,21,20.16,20.32,30215821,1038
9/28/2012,20.57,21.95,20.5,21.66,65485921,1037
10/1/2012,22.08,22.59,21.73,21.99,51262680,1036
10/2/2012,22.08,22.49,21.82,22.27,29341393,1035
10/3/2012,22.3,22.49,21.8,21.83,32000079,1034
10/4/2012,22.32,22.4,21.41,21.95,46894595,1033
10/5/2012,21.49,21.63,20.88,20.91,40529223,1032
10/8/2012,20.62,20.75,20.16,20.4,32236628,1031
10/9/2012,20.39,20.55,19.97,20.23,27161736,1030
10/10/2012,19.93,19.94,19.45,19.64,39321758,1029
10/11/2012,19.88,19.96,19.61,19.75,21817227,1028
10/12/2012,19.75,19.8,19.48,19.52,18809397,1027
10/15/2012,19.68,19.88,19.49,19.52,20189668,1026
10/16/2012,19.68,19.69,19.3,19.48,21834687,1025
10/17/2012,19.5,20.48,19.37,19.88,44074433,1024
10/18/2012,19.7,19.79,18.89,18.98,52157366,1023
10/19/2012,19,19.06,18.8,19,34834947,1022
10/22/2012,19.2,19.43,19.05,19.32,32447005,1021
10/23/2012,19.25,19.8,19.1,19.5,78381102,1020
10/24/2012,24.13,24.25,22.85,23.23,228949142,1019
10/25/2012,23.29,23.31,22.47,22.56,76141922,1018
10/26/2012,22.4,22.88,21.88,21.94,73259521,1017
10/31/2012,20.82,21.5,20.73,21.11,99378184,1016
11/1/2012,21.08,21.44,21.01,21.21,37713887,1015
11/2/2012,21.26,21.69,21.07,21.18,38344332,1014
11/5/2012,21.1,21.48,20.92,21.25,31806692,1013
11/6/2012,21.24,21.37,20.99,21.17,29062642,1012
11/7/2012,20.85,20.95,20.37,20.47,33396731,1011
11/8/2012,20.52,20.73,19.98,19.99,34254535,1010
11/9/2012,19.96,20,19.13,19.21,42295434,1009
11/12/2012,19.15,20.17,18.87,20.07,67349109,1008
11/13/2012,19.6,20.11,19.56,19.86,71775069,1007
11/14/2012,20.1,22.5,19.93,22.36,229750911,1006
11/15/2012,22.34,22.5,21.65,22.17,78857405,1005
11/16/2012,22.25,23.93,22.18,23.56,107182168,1004
11/19/2012,23.96,24.12,22.82,22.92,85021259,1003
11/20/2012,22.73,23.9,22.7,23.1,46655291,1002
11/21/2012,23.22,24.53,23.05,24.32,89862342,1001
11/23/2012,24.58,24.68,23.88,24,29520311,1000
11/26/2012,24.94,26.09,24.81,25.94,123862051,999
11/27/2012,26.04,26.5,25.46,26.15,85760074,998
11/28/2012,25.94,26.49,25.75,26.36,49205508,997
11/29/2012,26.5,27.52,26.16,27.32,88759067,996
11/30/2012,27.26,28,26.76,28,127049545,995
12/3/2012,28,28.88,26.98,27.04,123525093,994
12/4/2012,27.06,27.76,26.68,27.46,72912724,993
12/5/2012,27.75,27.9,27.26,27.71,58974841,992
